fund_code,invested_x,returned_x,return_x,invested_y,returned_y,return_y
150295,18400.0,18394.002282731442,-0.00018449199673397523,20000.0,26670.592633139575,0.009360345290412957
501007,13300.0,13299.514850888892,-2.852008226817446e-05,15400.0,20548.67715966973,0.050797012897371964
003184,11700.0,11700.0,2.3449650447979357e-15,11700.0,11700.0,2.3449650447979357e-15
512780,6400.0,6400.413416036934,0.00010475412149890063,7600.0,10240.069314170989,0.1212555723480719
001917,17400.0,17408.96866422232,0.0003105525218786577,20500.0,26678.455322414447,0.04895203930596789
510220,18400.0,18423.45451611449,0.000721027318860236,13400.0,22401.459993843797,0.041281080109083844
005496,8000.0,8004.81749490614,0.0007794874911863847,9800.0,12729.94797635438,0.10566230505289054
502041,18400.0,18430.107018892217,0.0009254072461627672,20500.0,26879.98695141328,0.008872877078967807
502010,18400.0,18432.295529415864,0.0009926308783098916,20100.0,28320.64147371255,0.0683892508335197
164401,18400.0,18432.7484710299,0.0010065429468359647,24900.0,31132.418698151847,0.029681527820871283
150293,18400.0,18433.79248733801,0.0010386088334367733,19900.0,26607.988853921743,0.009983947539006584
006803,2100.0,2100.420928083844,0.0011318502238529605,2100.0,3159.992537534054,0.27518407735751244
000803,18400.0,18437.976980049705,0.001167117254022946,25300.0,29728.028505133465,0.019693447497217458
150092,18400.0,18440.444027609967,0.0012428713734386886,21100.0,26730.047441618837,0.005975022862243394
150018,18400.0,18440.444027609967,0.0012428713734386886,26000.0,29517.65627647157,0.004666838674646395
150169,18400.0,18447.01396485624,0.0014445725381893935,23900.0,28739.076440306697,0.0055540970071491875
005702,6300.0,6305.728998593815,0.0014968400388510705,7800.0,9885.179180162653,0.03739278376008158
150215,18400.0,18448.85593024086,0.0015011121412964582,20000.0,26845.191025517735,0.006765005499489638
150036,18400.0,18449.23309137297,0.0015126886660300108,26000.0,29547.09682032996,0.005295668521746093
001193,18400.0,18449.43092959881,0.001518761009037466,24800.0,30195.94166306207,0.03755196989415273
150135,18400.0,18449.619099086653,0.0015245365385561649,22300.0,27764.034188157908,0.00653465780560773
150064,18400.0,18449.619099086653,0.0015245365385561649,23300.0,27755.243405472567,0.006031879194139203
160633,18400.0,18450.39161961405,0.0015482472163050932,19900.0,27813.41200070607,0.04017043028763239
150053,18400.0,18451.658297741582,0.0015871232382701735,24300.0,29064.195568086765,0.006080269842770601
150055,18400.0,18451.658297741582,0.0015871232382701735,26100.0,29853.1533534776,0.005419307056509832
502001,18400.0,18451.712853988036,0.0015887975954690396,19700.0,26667.785664690324,0.007514022274852626
150059,18400.0,18453.356622599065,0.0016392438582401457,26200.0,29753.70359527285,0.005402271574784788
150030,18400.0,18453.356622599065,0.0016392438582401457,21900.0,27265.956784078106,0.006691651373160378
150083,18400.0,18453.380632694127,0.0016399806879926876,25100.0,29462.47236381026,0.005849339319692838
150104,18400.0,18453.429560146767,0.001641482187595355,24900.0,29363.347893060913,0.005905387448014153
150177,18400.0,18455.32442295618,0.0016996299303059805,18900.0,26349.814255018457,0.007261597657368626
150192,18400.0,18455.32442295618,0.0016996299303059805,18600.0,25744.797162642815,0.007202300515868079
150100,18400.0,18455.32442295618,0.0016996299303059805,24900.0,29044.31997320143,0.005464710481245082
150219,18400.0,18456.785508189598,0.0017444631964648662,21800.0,27816.34239897271,0.007986098722395502
150179,18400.0,18456.897252488856,0.0017478919480576006,19000.0,25745.721654275207,0.0070880335304618226
150196,18400.0,18460.607800175614,0.0018617370115408083,19900.0,26798.92651379074,0.008241382031544795
000826,18400.0,18463.96527460087,0.001964734156348943,28200.0,30634.818875324614,0.01499232231416232
150217,18400.0,18466.398432900696,0.0020393671131371167,20500.0,26771.90122132493,0.008618781099827836
150331,13500.0,13538.363847230352,0.0021933265828841036,14900.0,19727.584825482016,0.01235031818976876
000971,18400.0,18471.85931049163,0.0022068427328754796,26000.0,31295.389656101583,0.05449685325352607
502054,18400.0,18472.214855929033,0.0022177453775469712,21000.0,27233.797548638187,0.011146106489153566
150329,18400.0,18473.56374829401,0.0022591071071312013,20800.0,27170.241113324,0.007172803270655011
002229,17400.0,17466.199733637997,0.002289500826670647,21300.0,27720.603059497138,0.03313668147760701
510070,18400.0,18478.441975185815,0.002408671186785468,10400.0,20760.64522023193,0.0479193826579317
150249,18400.0,18478.85653242295,0.002421379916424676,21200.0,27578.683122161307,0.007268852168450288
150271,18400.0,18478.85653242295,0.002421379916424676,20600.0,27176.50165837625,0.007435535102757487
150251,18400.0,18478.85653242295,0.002421379916424676,20100.0,26773.77937394862,0.007579577264852804
150327,18400.0,18478.92694799472,0.0024235385651827307,21100.0,27621.20684085216,0.008167075797595407
150209,18400.0,18480.597585843097,0.0024747515290793874,19100.0,25967.957572294414,0.0078209747875463
000827,18400.0,18482.717507429297,0.0025397320609210692,28200.0,30663.777399742077,0.015576771973534874
150323,18400.0,18485.824816869263,0.002634968008867495,21100.0,27728.942379755357,0.00878841192683313
150123,18400.0,18495.178550942503,0.0029215766442461572,24900.0,29454.48374937473,0.00792105574746712
150148,18400.0,18496.429215212873,0.0029598899454233254,21600.0,27302.244607103465,0.007754591549736689
150150,18400.0,18496.429215212873,0.0029598899454233254,20500.0,26799.77606681466,0.00807391471666553
150157,18400.0,18496.429215212873,0.0029598899454233254,24700.0,29003.796142245003,0.0069220065718669285
001490,18400.0,18498.043232484662,0.003009331399839676,23200.0,29880.224388949355,0.03741762335667313
150221,18400.0,18499.74469355163,0.003061447901097889,22300.0,28083.733284278,0.009716602530157837
150130,18400.0,18499.7984881901,0.0030630955946483324,21800.0,27641.317635694173,0.00863989956349437
150335,18400.0,18499.84984412239,0.003064668588844262,20900.0,27239.46459890924,0.009022000878753366
206012,18400.0,18500.1144959335,0.003072774624893858,14100.0,23356.88595729127,0.07416604105911402
150299,18400.0,18500.870981752374,0.0030959445840051856,20900.0,27543.944590980016,0.009152745972635868
150291,18400.0,18502.29214592058,0.003139470622341216,21300.0,27645.18918994364,0.009039646340767654
150190,18400.0,18503.44225745886,0.003174693248044835,19100.0,26431.450577255557,0.010365737560638865
502021,18400.0,18508.295876064174,0.0033233187826553798,19900.0,26420.00770588848,0.008937521478596536
005209,8400.0,8422.204770019596,0.0033238563866098926,9800.0,13330.70517529365,0.11806984076915464
150213,18400.0,18510.07199741631,0.003377698984167167,23200.0,28435.94767330246,0.00867256862653215
150200,18400.0,18510.40624808665,0.003387932420527739,22100.0,27710.386156083503,0.008079601677595381
150152,18400.0,18515.389391296972,0.0035404798105991364,21100.0,26922.123317629765,0.009383156582737449
150267,18400.0,18516.57615695759,0.00357680525484644,20700.0,27236.704149759393,0.009065934426063299
150225,18400.0,18516.57615695759,0.00357680525484644,19900.0,26530.07888079621,0.009273045555893776
150287,18400.0,18517.345612284476,0.003600356387299717,20500.0,26853.752840451438,0.009749218280426892
150167,18400.0,18517.4913064051,0.0036048156410658084,23100.0,28241.128879850843,0.008211341964225726
150094,18400.0,18517.642963432296,0.0036094573727031717,24900.0,29038.185875187915,0.008219174294838363
150057,13600.0,13663.736686673641,0.0036190392898444337,16300.0,20547.782505289622,0.011171453552504021
150175,18400.0,18518.31925076265,0.003632298537746424,22900.0,28344.617355402792,0.008413787750416133
150245,18400.0,18521.843036304854,0.003737996461484046,19900.0,26430.591022756733,0.01030232604472534
150145,18400.0,18522.41374604717,0.003755460746771886,24900.0,29045.8077576177,0.007956336728049943
160628,18400.0,18522.765125010537,0.003766213087177053,25300.0,30184.76275537356,0.027153077802254306
150325,18400.0,18524.36469613595,0.0038151586446548646,21400.0,27865.571436980925,0.009855908981190252
502014,18400.0,18525.67568805928,0.003855271501814585,20100.0,26650.032577185164,0.010336827050212601
502037,18400.0,18526.55920022541,0.0038823033914414658,21100.0,27569.69218195642,0.009347357276147385
502057,18400.0,18527.056740904878,0.003897525683955485,20900.0,27368.662219007118,0.009329298285452725
150117,18400.0,18531.220668328155,0.004024909061604684,25000.0,29376.98614931259,0.009130059860320774
150265,18400.0,18532.892934475607,0.004076061059896413,20000.0,26767.867556139914,0.009750422470414553
150237,18400.0,18533.39233781538,0.004091336338911262,20500.0,26739.948590587705,0.009973546724397708
150194,18400.0,18536.061985535936,0.0041729876603726615,19100.0,26010.588362700055,0.008769262501242275
150275,18400.0,18537.13543812779,0.0042058167266478185,21000.0,27226.434309096145,0.009557083314331163
150207,18400.0,18537.491614588525,0.004216709238572978,22100.0,27632.970900966568,0.009302793599635595
150309,18400.0,18537.497062373728,0.004216875840323142,19900.0,26227.153838822425,0.009670988535846256
150261,18400.0,18538.36517039941,0.004243423455601369,20300.0,27076.871976164588,0.009893036639772092
150263,18400.0,18540.448843476577,0.004307140384245611,20600.0,27281.26916890148,0.010535543380362545
150051,18400.0,18540.563098117138,0.004310634034103435,25500.0,29349.878620770483,0.007556702148379834
150181,18400.0,18541.48586378079,0.004338849527467043,21100.0,27235.64190190906,0.008940805670189175
150311,18400.0,18544.63920114467,0.004435261303958155,20500.0,26536.226130598465,0.009799383637169387
165806,18400.0,18544.962247416774,0.004445137579347201,16600.0,24951.6597429448,0.0434446783425882
150315,18400.0,18549.61536628914,0.004587379617206483,20500.0,26438.63649091708,0.009881646609406597
150301,18400.0,18549.67375304038,0.004589164278754663,20500.0,26885.4577115057,0.011097294690167635
150211,18400.0,18549.890030120365,0.004595775011339421,22800.0,28375.15907912388,0.010025590291047805
150173,18400.0,18551.475234768106,0.004644226627953257,20000.0,26433.788872892383,0.010161156529856824
150205,18400.0,18553.481117441577,0.004705531678769164,19000.0,26030.769176452835,0.009410391014048251
167901,1700.0,1701.3023022858772,0.004733833435596353,1700.0,1701.3023022858772,0.004733833435596353
002387,16900.0,17029.216269863868,0.004738257998506557,20400.0,26786.50566995784,0.03570990664866386
150321,18400.0,18558.47054438399,0.004857999668201152,20400.0,26837.516255191516,0.011948656128257058
512200,9800.0,9845.42199541304,0.00491577897601376,11400.0,15645.845342407027,0.13330305352704327
150227,18400.0,18564.65622902131,0.005046979562391483,20500.0,26862.902590578724,0.009852669943460367
150289,18400.0,18571.328200443684,0.005250762013007903,21400.0,27608.408717776452,0.011689838828541762
150243,18400.0,18574.049678771662,0.005333868194386882,20900.0,27165.648525719163,0.009979530086202634
150096,7800.0,7832.006650527426,0.005467021997423641,11700.0,13120.098825023413,0.01330946847359354
150076,13800.0,13900.457969717914,0.005534958188835842,20100.0,22558.762623980117,0.009538438841684614
150247,18400.0,18590.521070281837,0.005836658484735958,21800.0,27907.602448222366,0.010861690945092891
150343,18400.0,18593.34281983015,0.0059227583274757785,21000.0,27327.257706828626,0.01098528978557501
159957,8300.0,8339.452627866456,0.005952569032667186,9900.0,13075.555719777092,0.12508583665911974
001105,18400.0,18600.90083415723,0.006153326175078236,25100.0,30611.620808955704,0.029915605457149275
150203,18400.0,18601.24344192553,0.006163776205894473,20100.0,26873.60991650061,0.010119680565709442
540007,18400.0,18605.74083871354,0.00630093962096244,11400.0,22858.959710023802,0.07271082757192773
150307,18400.0,18606.153033748207,0.006313509640127604,21700.0,27595.715911444946,0.010559059282602224
519931,13400.0,13509.613614542022,0.006335041954254471,16600.0,20939.887381539702,0.03317945903673979
005515,6100.0,6122.776481882512,0.006360198810868898,6400.0,9239.155507028347,0.11512658337381335
000761,18400.0,18607.7310122682,0.0063616286273428515,24800.0,30138.492629405217,0.02609667411313802
003647,13300.0,13413.920061501569,0.006669878426207517,16200.0,20928.440311111375,0.059422658684655114
005310,8300.0,8344.816416354748,0.0068442389891068805,9600.0,13100.707401179598,0.16074922275398829
001039,18400.0,18629.695350689646,0.007031086334522381,22800.0,29410.222325884974,0.03829118686883302
161123,18400.0,18630.426654113577,0.00705336554945,24400.0,29832.50256109951,0.03589700907318087
000927,18400.0,18632.615955977,0.0071217504999810475,24600.0,30755.913738238465,0.040019356505539005
150303,18400.0,18637.773557610024,0.007277152364539042,22300.0,28169.353058513727,0.012157288037787362
150121,13900.0,14037.275004377492,0.007357285035960492,19200.0,22123.1218902908,0.01212747001675616
001050,18400.0,18642.570165093723,0.007423220658001239,23000.0,29100.817969082273,0.03531816560425687
001781,17700.0,17936.981634291344,0.00788632127668334,21000.0,28059.440736597193,0.039348719504663045
159963,1800.0,1802.5755627244896,0.008094407482265304,2000.0,2542.752298377284,0.16110115502115305
004352,10700.0,10788.956286827974,0.008188950059608895,12600.0,16703.73133758022,0.08978091666333946
502024,18400.0,18667.80578387457,0.008191232455921309,21300.0,27095.218772404653,0.013511706512580459
005495,8000.0,8050.732447557932,0.008207888377955838,9900.0,12777.622606516223,0.11089516460155968
000592,18400.0,18671.87296384336,0.008314937131999448,20500.0,28057.842821789684,0.04481816169793427
162208,18400.0,18677.848368034272,0.008496643672326484,26000.0,31037.163619942694,0.055948999578628124
159965,1700.0,1702.244639311596,0.008736823687937845,1800.0,2563.7481139016413,0.35612590134584066
512120,18400.0,18695.832940215514,0.009043269412940978,19400.0,27881.774514446817,0.04432950638042961
150277,18400.0,18707.826883233593,0.009407591269156936,20400.0,27052.478152914016,0.017515411306403852
150279,18400.0,18708.916858280514,0.00944069092334365,20400.0,26743.083694756457,0.01592569852148829
510880,18400.0,18711.140026323854,0.00950819806823602,12400.0,22157.896658862832,0.04236018202705151
004876,10600.0,10705.018270349226,0.009831993246596183,12700.0,17145.47268447274,0.14586942020952368
150297,18400.0,18726.33436101372,0.00996941407308867,20500.0,27258.37476112541,0.02106991901961843
150139,17200.0,17522.39766689114,0.010037681463668846,25900.0,31169.80667134212,0.06544801920088568
003646,13300.0,13476.360694578992,0.010312482415402283,16000.0,20812.321825050814,0.0642103164430395
502006,18400.0,18740.774605012397,0.010407474506176274,23300.0,29863.054294789912,0.03708102226710276
150262,18400.0,18769.554486496483,0.011279772947780244,22400.0,31557.866965914942,0.12153149447829488
002333,13900.0,14114.835668672622,0.011494403851054633,17000.0,22665.29637872479,0.06652649717912325
150273,18400.0,18780.525646255173,0.011612031618463142,20200.0,26924.48949449027,0.018222979791655627
320014,18400.0,18782.123253976213,0.01166040234682976,13800.0,22670.01068945343,0.056569705930636115
